Date;Empregados
jan/92;22,384,808.00
fev/92;22,307,255.00
mar/92;22,227,937.00
abr/92;22,164,762.00
mai/92;22,186,295.00
jun/92;22,182,557.00
jul/92;22,154,408.00
ago/92;22,118,170.00
set/92;22,122,286.00
out/92;22,074,434.00
nov/92;22,022,669.00
dez/92;21,758,681.00
jan/93;21,792,338.00
fev/93;21,795,269.00
mar/93;21,828,772.00
abr/93;21,856,114.00
mai/93;22,010,915.00
jun/93;22,065,355.00
jul/93;22,082,736.00
ago/93;22,090,651.00
set/93;22,111,157.00
out/93;22,120,746.00
nov/93;22,081,211.00
dez/93;21,850,098.00
jan/94;21,883,642.00
fev/94;21,872,831.00
mar/94;21,921,826.00
abr/94;21,994,022.00
mai/94;22,086,735.00
jun/94;22,164,883.00
jul/94;22,174,030.00
ago/94;22,186,878.00
set/94;22,258,968.00
out/94;22,316,177.00
nov/94;22,318,554.00
dez/94;22,152,024.00
jan/95;22,141,234.00
fev/95;22,210,908.00
mar/95;22,240,545.00
abr/95;22,328,614.00
mai/95;22,420,817.00
jun/95;22,430,313.00
jul/95;22,366,096.00
ago/95;22,249,240.00
set/95;22,181,998.00
out/95;22,138,217.00
nov/95;22,065,013.00
dez/95;22,022,685.00
jan/96;21,960,574.00
fev/96;21,933,085.00
mar/96;21,897,173.00
abr/96;21,958,222.00
mai/96;22,065,453.00
jun/96;22,118,470.00
jul/96;22,127,580.00
ago/96;22,115,406.00
set/96;22,136,758.00
out/96;22,096,933.00
nov/96;22,031,600.00
dez/96;21,751,387.00
jan/97;21,708,273.00
fev/97;21,714,635.00
mar/97;21,773,517.00
abr/97;21,864,676.00
mai/97;21,993,630.00
jun/97;22,073,560.00
jul/97;22,066,059.00
ago/97;22,069,809.00
set/97;22,108,980.00
out/97;22,116,949.00
nov/97;22,051,302.00
dez/97;21,715,656.00
jan/98;21,630,336.00
fev/98;21,608,209.00
mar/98;21,597,496.00
abr/98;21,673,141.00
mai/98;21,758,512.00
jun/98;21,776,609.00
jul/98;21,755,155.00
ago/98;21,777,368.00
set/98;21,754,166.00
out/98;21,690,073.00
nov/98;21,571,661.00
dez/98;21,133,903.00
jan/99;21,092,692.00
fev/99;21,014,662.00
mar/99;20,938,350.00
abr/99;20,995,893.00
mai/99;21,093,075.00
jun/99;21,151,184.00
jul/99;21,159,241.00
ago/99;21,172,547.00
set/99;21,179,754.00
out/99;21,197,193.00
nov/99;21,181,023.00
dez/99;20,937,902.00
jan/00;20,969,100.00
fev/00;21,057,275.00
mar/00;21,097,222.00
abr/00;21,222,293.00
mai/00;21,385,130.00
jun/00;21,528,014.00
jul/00;21,633,856.00
ago/00;21,712,701.00
set/00;21,805,379.00
out/00;21,820,821.00
nov/00;21,821,287.00
dez/00;21,595,498.00
jan/01;21,644,294.00
fev/01;21,724,537.00
mar/01;21,759,021.00
abr/01;21,899,018.00
mai/01;22,060,916.00
jun/01;22,169,487.00
jul/01;22,240,873.00
ago/01;22,288,200.00
set/01;22,368,228.00
out/01;22,445,415.00
nov/01;22,440,500.00
dez/01;22,186,577.00
jan/02;22,230,805.00
fev/02;22,312,818.00
mar/02;22,403,078.00
abr/02;22,578,168.00
mai/02;22,733,981.00
jun/02;22,867,327.00
jul/02;22,928,554.00
ago/02;23,006,576.00
set/02;23,173,888.00
out/02;23,210,256.00
nov/02;23,198,505.00
dez/02;22,948,991.00
jan/03;22,984,476.00
fev/03;23,068,505.00
mar/03;23,089,766.00
abr/03;23,243,790.00
mai/03;23,384,103.00
jun/03;23,509,898.00
jul/03;23,547,131.00
ago/03;23,626,903.00
set/03;23,788,668.00
out/03;23,859,538.00
nov/03;23,894,342.00
dez/03;23,594,424.00
jan/04;23,722,521.00
fev/04;23,887,597.00
mar/04;24,014,516.00
abr/04;24,225,032.00
mai/04;24,546,629.00
jun/04;24,782,581.00
jul/04;25,015,835.00
ago/04;25,270,858.00
set/04;25,507,794.00
out/04;25,657,371.00
nov/04;25,752,798.00
dez/04;25,390,959.00
jan/05;25,542,015.00
fev/05;25,641,324.00
mar/05;25,771,604.00
abr/05;26,075,414.00
mai/05;26,322,777.00
jun/05;26,546,486.00
jul/05;26,691,353.00
ago/05;26,851,079.00
set/05;27,080,736.00
out/05;27,215,161.00
nov/05;27,243,686.00
dez/05;26,952,492.00
jan/06;27,070,931.00
fev/06;27,280,373.00
mar/06;27,384,679.00
abr/06;27,657,342.00
mai/06;27,891,734.00
jun/06;28,079,135.00
jul/06;28,262,903.00
ago/06;28,421,105.00
set/06;28,630,797.00
out/06;28,777,875.00
nov/06;28,825,476.00
dez/06;28,502,094.00
jan/07;28,642,769.00
fev/07;28,818,504.00
mar/07;28,990,261.00
abr/07;29,330,587.00
mai/07;29,575,381.00
jun/07;29,784,723.00
jul/07;29,940,585.00
ago/07;30,105,107.00
set/07;30,397,191.00
out/07;30,630,023.00
nov/07;30,773,840.00
dez/07;30,445,144.00
jan/08;30,622,016.00
fev/08;30,856,304.00
mar/08;31,083,429.00
abr/08;31,409,300.00
mai/08;31,637,484.00
jun/08;31,982,452.00
jul/08;32,214,849.00
ago/08;32,483,667.00
set/08;32,794,672.00
out/08;32,875,169.00
nov/08;32,847,795.00
dez/08;32,152,434.00
jan/09;32,085,357.00
fev/09;32,133,164.00
mar/09;32,202,027.00
abr/09;32,343,133.00
mai/09;32,512,041.00
jun/09;32,663,419.00
jul/09;32,837,118.00
ago/09;33,118,534.00
set/09;33,418,640.00
out/09;33,694,762.00
nov/09;33,976,604.00
dez/09;33,550,279.00
jan/10;33,790,419.00
fev/10;34,048,894.00
mar/10;34,371,404.00
abr/10;34,720,765.00
mai/10;35,070,495.00
jun/10;35,327,471.00
jul/10;35,547,596.00
ago/10;35,905,380.00
set/10;36,201,012.00
out/10;36,442,948.00
nov/10;36,599,979.00
dez/10;36,180,106.00
jan/11;36,382,314.00
fev/11;36,729,384.00
mar/11;36,855,490.00
abr/11;37,172,933.00
mai/11;37,461,682.00
jun/11;37,717,100.00
jul/11;37,894,382.00
ago/11;38,125,001.00
set/11;38,376,306.00
out/11;38,536,434.00
nov/11;38,609,101.00
dez/11;38,206,713.00
jan/12;38,387,343.00
fev/12;38,587,722.00
mar/12;38,753,614.00
abr/12;39,017,224.00
mai/12;39,212,998.00
jun/12;39,376,225.00
jul/12;39,560,221.00
ago/12;39,713,709.00
set/12;39,916,048.00
out/12;40,006,191.00
nov/12;40,082,348.00
dez/12;39,579,307.00
jan/13;39,654,921.00
fev/13;39,823,769.00
mar/13;40,006,787.00
abr/13;40,263,012.00
mai/13;40,374,236.00
jun/13;40,532,305.00
jul/13;40,605,522.00
ago/13;40,767,682.00
set/13;41,025,350.00
out/13;41,156,215.00
nov/13;41,225,576.00
dez/13;40,717,869.00
jan/14;40,781,107.00
fev/14;41,082,501.00
mar/14;41,117,606.00
abr/14;41,250,321.00
mai/14;41,336,993.00
jun/14;41,387,566.00
jul/14;41,418,749.00
ago/14;41,549,653.00
set/14;41,718,479.00
out/14;41,701,447.00
nov/14;41,720,795.00
dez/14;41,138,559.00
jan/15;41,076,734.00
fev/15;41,089,907.00
mar/15;41,125,972.00
abr/15;41,041,191.00
mai/15;40,931,827.00
jun/15;40,832,965.00
jul/15;40,683,608.00
ago/15;40,606,288.00
set/15;40,518,533.00
out/15;40,351,865.00
nov/15;40,217,963.00
dez/15;39,603,570.00
jan/16;39,511,297.00
fev/16;39,414,963.00
mar/16;39,300,441.00
abr/16;39,244,619.00
mai/16;39,178,233.00
jun/16;39,090,513.00
jul/16;39,006,273.00
ago/16;38,984,187.00
set/16;38,951,918.00
out/16;38,873,153.00
nov/16;38,755,119.00
dez/16;38,277,012.00
jan/17;38,245,937.00
fev/17;38,295,566.00
mar/17;38,237,972.00
abr/17;38,312,354.00
mai/17;38,357,198.00
jun/17;38,374,049.00
jul/17;38,424,830.00
ago/17;38,474,272.00
set/17;38,523,555.00
